Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-12,The Holiday,2006,https://boxd.it/81X1Nf,4,,,2024-12-11
2024-12-23,Transformers One,2024,https://boxd.it/88ho21,4,,,2024-12-23
2024-12-24,Carry-On,2024,https://boxd.it/88YLNv,2.5,,,2024-12-24
2024-12-24,The Substance,2024,https://boxd.it/88YMxN,4.5,,,2024-12-24
2024-12-24,#Alive,2020,https://boxd.it/88YOgz,2.5,,,2024-12-24
2024-12-31,American Pie 2,2001,https://boxd.it/8fgRXr,3,,,2024-12-31
2025-01-07,The Graduate,1967,https://boxd.it/8m3A8N,5,,,2025-01-06
2025-04-06,The Gorge,2025,https://boxd.it/9kINhF,3,,,2025-04-06
2025-07-07,Coco,2017,https://boxd.it/afeoNf,5,,,2025-07-03
2025-07-14,Superman,2025,https://boxd.it/akjF0f,4,,,2025-07-13
2025-10-09,The Smashing Machine,2025,https://boxd.it/bjcIu3,3.5,,,2025-10-08
2025-10-10,The Long Walk,2025,https://boxd.it/bjLntt,3.5,,,2025-10-09
2025-10-14,Alita: Battle Angel,2019,https://boxd.it/bmt4iH,2.5,,,2025-10-13
2025-10-15,One Battle After Another,2025,https://boxd.it/bngSu7,5,,,2025-10-14
2025-11-23,Anora,2024,https://boxd.it/bOeyaF,3.5,,,2025-11-22
2026-01-05,Stranger Things 5: The Finale,2025,https://boxd.it/csC38B,3,,,2026-01-01
2026-01-10,The Naked Gun,2025,https://boxd.it/cy8Oel,3,,,2026-01-09
2026-01-10,People We Meet on Vacation,2026,https://boxd.it/cyo6wH,3.5,,,2026-01-09
2026-01-11,The King,2019,https://boxd.it/czjEN7,4,,,2026-01-10
2026-01-11,Cure,1997,https://boxd.it/czK18t,5,,,2026-01-10
2026-01-25,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/cOeWMh,5,Yes,,2026-01-23
2026-01-26,Dune,2021,https://boxd.it/cPJWAr,5,Yes,,2026-01-24
2026-01-26,Dune: Part Two,2024,https://boxd.it/cPJYqD,5,Yes,,2026-01-25
2026-02-05,HIS & HERS,2026,https://boxd.it/cZxJ6z,3,,,2026-01-29
2026-02-03,Iron Lung,2026,https://boxd.it/cY3CYv,3.5,,,2026-02-02
2026-02-05,Bring Her Back,2025,https://boxd.it/cZxBN1,4,,,2026-02-03
2026-02-05,Night at the Museum,2006,https://boxd.it/cZxG8x,3,,,2026-02-03
