Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-03-27,The Killing of a Sacred Deer,2017,https://boxd.it/2Hx3AZ,4,,,2022-03-26
2022-08-24,Pulp Fiction,1994,https://boxd.it/3a5Zlt,4,,,2022-08-24
2024-08-27,Prometheus,2012,https://boxd.it/7cgmq7,4,Yes,,2024-08-27
